ลำดับที่,ชื่อแหล่งธรรมชาติ,ประเภทที่,ประเภทแหล่งธรรมชาติ,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ความสำคัญ,ลักษณะของพื้นที่
157,ผาน้ำย้อย,3,ภูเขา,ผาน้ำย้อย,หนองพอก,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.34666700,104.31694400,เป็นที่สรงน้ำพระในช่วงสงกรานต์และบนยอดเขาเขียวเหนือผาน้ำย้อยกำลังสร้างพระมหาเจดีย์ชัยบาดาล,เป็นภูเขาหินขนาดใหญ่ ที่มีลักษณะเป็นหน้าผา ซึ่งมีน้ำตกไหลและซึมตลอดปี อยู่บนภูเขาเขียว ซึ่งบนยอดภูเขียวสามารถมองเห็นทัศนียภาพอันสวยงาม เป็นศูนย์รวมจิตใจและพลังศรัทธาในพระพุทธศาสนาของชาวร้อยเอ็ด
158,บึงพลาญชัย,7,แหล่งน้ำ,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,16.27972200,104.55833300,แหล่งท่องเที่ยวที่สำคัญของและเป็นเอกลักษณ์ของจังหวัด,เป็นบึงที่มีเอกลักษณ์ของท้องถิ่น มีเกาะอยู่กลางบึง เป็นที่ประดิษฐานศาลเจ้าพ่อมเหศักดิ์ หลักเมือง และพระพุทธโคดมมงคลศาสดาศิริพัฒนา ปัจจุบันเป็นสวนสาธารณะประจำจังหวัด
159,ภูถ้ำพระ (ยโสธร),3,ภูเขา,กุดเชียงหมี,เลิงนกทา,ยโสธร,ตะวันออกเฉียงเหนือ,16.27891500,104.55786800,เป็นที่บำเพ็ญสมาธิของพระภิกษุ  สามเณร และแม่ชี,"เป็นชะง่อนหินที่เกิดจากการชะล้างพังทลายของดินหินด้านล่าง อันเนื่องมาจากน้ำและลม เกิดเป็นเพิงผาถ้ำ เรียกว่า ""ภูถ้ำพระ"" เนื่องจากมีพระพุทธรูปอยู่ในถ้ำเป็นจำนวนมากล้วนแต่เป็นพระพุทธรูปโบราณที่ศักดิ์สิทธิ์"
160,น้ำตกเหวสุวัต,5,น้ำตก,หมูสี,ปากช่อง,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.43559000,101.41391600,เป็นน้ำตกที่มีชื่อเสียงมากในอุทยานแห่งชาติเขาใหญ่,เป็นน้ำตกที่มีชื่อเสียงมากในอุทยานแห่งชาติเขาใหญ่ น้ำตกมี 1 ชั้น ลักษณะเป็นสายน้ำตกลงมาจากหน้าผาสูงประมาณ 20 เมตร บริเวณด้านล่างของน้ำตกเป็นแอ่งน้ำและลำธาร เหมาะที่จะลงเล่นน้ำ บริเวณโดยรอบน้ำตกอุดมด้วยป่าไม้เเละพันธุ์พืช
161,น้ำตกหลังเหว,5,น้ำตก,ปากช่อง,ปากช่อง,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.73333300,101.37861100,เป็นเอกลักษณ์ของท้องถิ่น,เป็นน้ำตกขนาดเล็กชั้นเดียว มีน้ำผุดจากใต้ดินแล้วไหลลงจากผาสูงประมาณ 80 เมตร ตามรอยแตกของเปลือกโลกในเขตป่าดิบชื้นดงพญาเย็น อยู่บริเวณภายในวัดธารน้ำตกหลังเหว ในฤดูฝนจะมีน้ำมากและเป็นสีแดง ในหน้าเเล้งจะมีน้ำน้อย
162,บึงกระโทก,7,แหล่งน้ำ,กระโทก,โชคชัย,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.73083300,102.16750000,"เป็นเอกลักษณ์ของท้องถิ่นมีชื่อเป็นทางการว่า ""บึงโชคชัย""",เป็นบึงน้ำธรรมชาติ เป็นสัญลักษณ์ของท้องถิ่นในอำเภอโชคชัย เป็นสถานที่พักผ่อนหย่อนใจของประชาชน และเป็นสถานที่จัดงานบุญประเพณีท้องถิ่น ได้แก่ งานลอยกระทง และงานออกพรรษา
163,ถ้ำวัวแดง (นครราชสีมา),4,ถ้ำ,เฉลียง,ครบุรี,นครราชสีมา,ตะวันออกเฉียงเหนือ,14.49138900,102.27694400,เป็นสถานที่ปฏิบัติธรรมของพระสงฆ์และชาวบ้านเชื่อว่าเป็นสถานที่ศักดิ์สิทธิ์มีหลวงปู่โลกอุดรคุ้มครองอยู่,มีลักษณะเป็นชะง่อนหินเกิดจากการเปลี่ยนรูปของหินทรายเป็นเพิงผา ลักษณะคล้ายถ้ำ ภายในถ้ำมีรูปสลักหินผนังถ้ำเป็นรูปเทวดานั่งบนหลังวัวแดง ชาวบ้านเชื่อว่าเป็นสถานที่ศักดิ์สิทธิ์ มีหลวงปู่โลกอุดรคุ้มครองถ้ำนี้อยู่
164,ภูกระโดง,3,ภูเขา,เสม็ด,เมืองบุรีรัมย์,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.93902900,103.09394500,เป็นที่ประดิษฐานพระพุทธรูปคู่บ้านคู่เมืองบุรีรัมย์และเป็นแหล่งศึกษาธรรมชาติ,เป็นภูเขาไฟเก่าแก่ที่มองเห็นลักษณะปากปล่องได้ชัดเจน มีสระน้ำมณีวรรณอยู่ทางขวามือก่อนถึงยอดเขา สระน้ำนี้เชื่อว่าเดิมเป็นปากปล่องภูเขาไฟ บนยอดเขาเป็นลานกว้าง มีพันธุ์ไม้พื้นเมืองหลายชนิด
165,ภูพนมรุ้ง,3,ภูเขา,ตาเป๊ก,เฉลิมพระเกียรติ,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.53166700,102.94250000,เป็นที่ตั้งของปราสาทพนมรุ้งซึ่งเป็นสถานที่ท่องเที่ยวสำคัญของประเทศ,เป็นภูเขาไฟเก่าที่ดับสนิทแล้ว เป็นส่วนหนึ่งของทิวเขาพนมดงรัก มีขนาดใหญ่ อุดมสมบูรณ์ด้วยทรัพยากรป่าไม้ และสัตว์ป่า เป็นที่ตั้งของปราสาทพนมรุ้ง บนยอดเขาซึ่งเป็นโบราณสถานในศิลปเขมรที่มีความงดงาม และเป็นสถานที่ท่องเที่ยวที่มีความสำคัญมากที่สุดแห่งหนึ่งในประเทศไทย
166,ภูพระอังคาร,3,ภูเขา,เจริญสุข,เฉลิมพระเกียรติ,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14.53419600,102.83475800,เป็นสถานที่สำคัญทางพระพุทธศาสนาของจังหวัด,เป็นภูเขาขนาดเล็ก ตั้งโดดเด่นบริเวณทุ่งนา มีรูปร่างกลมรี วางตัวในแนวเหนือ-ใต้ เป็นภูเขาไฟเก่าดับสนิทแล้วในเทือกเขาพนมดงรัก บนยอดเขาภูพระอังคาร เป็นที่ตั้งของวัดเขาพระอังคาร เป็นวัดที่สวยงามสร้างเลียนแบบสถาปัตยกรรมสมัยต่าง ๆ หลายรูปแบบ
167,ผามออีแดง,3,ภูเขา,เสาธงชัย,กันทรลักษ์,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.40381400,104.68776100,เป็นจุดชมทัศนียภาพทิวเขาพนมดงรัก,เป็นลาดหินกว้าง เป็นจุดชมทัศนียภาพทิวเขาพนมดงรัก มองเห็นแผ่นดินประเทศกัมพูชาที่อยู่ต่ำลงไปอย่างเป็นมุมกว้าง และสามารถมองเห็นปราสาทเขาพระวิหารที่ห่างออกไป 1 กิโลเมตร ซึ่งเป็นเอกลักษณ์หรือสัญลักษณ์ของท้องถิ่น
168,น้ำตกสำโรงเกียรติ (น้ำตกปีศาจ),5,น้ำตก,บักคอง,ขุนหาญ,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.50916700,104.48638900,แหล่งท่องเที่ยวที่สำคัญของจังหวัด,เกิดจากต้นน้ำซึ่งอยู่ห่างจากน้ำตกประมาณ 3 กิโลเมตร เหนือน้ำตกเป็นธารน้ำไหลไปตามลานหิน ในฤดูฝนน้ำไหลตกลงพื้นเสียงดังสนั่นก้องไปทั่วทั้งป่า น้ำตกแห่งนี้เป็นที่ตั้งหน่วยปฏิบัติการทหารพราน ซึ่งยังปรากฎร่องรอยหลุมบังเกอร์ให้เห็นทั้งบริเวณ
169,น้ำตกห้วยจันทร์,5,น้ำตก,ห้วยจันทร์,ขุนหาญ,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.52888900,104.35944400,เป็นเอกลักษณ์ของท้องถิ่นทัศนียภาพสวยงามและเกี่ยวข้องกับประวัติศาสตร์,เป็นน้ำตกขนาดกลางที่สวยงาม มีลักษณะเป็นลำธารสายกว้างไหลลดหลั่นมาตามชั้นหิน มี 3 ชั้น มีต้นกำเนิดจากเทือกเขาบรรทัด บริเวณเขาเสลา (ภูเสลา) แล้วไหลลงสู่แม่น้ำมูลที่อำเภอเมือง จังหวัดศรีสะเกษ มีน้ำตลอดปี สามารถลงเล่นน้ำได้บริเวณน้ำตกร่มรื่น รายล้อมด้วยพันธุ์ไม้ป่า เป็นแหล่งพักผ่อนหย่อนใจของประชาชน
170,หนองไพรบึง,7,แหล่งน้ำ,ไพรบึง,ไพรบึง,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,14.76194400,104.36333300,"เป็นแหล่งน้ำความจุ 300,000 ลูกบาศก์เมตร สำหรับราษฏร 400 ครอบครัว พื้นที่เกษตรกรรม 1,000 ไร่","เป็นบึงธรรมชาติลึกประมาณ 3 เมตร ได้รับการพัฒนาเป็นแหล่งน้ำความจุประมาณ 300,000 ลูกบาศก์เมตร โดยกองอำนวยการกลางรักษาความปลอดภัยแห่งชาติ (กรป.กลาง) เมื่อประมาณ พ.ศ. 2524 สำหรับราษฎรประมาณ 400 ครัวเรือน และพื้นที่เกษตรประมาณ 1,000 ไร่"
171,แก่งสะพือ,2,แก่ง,พิบูลมังสาหาร,พิบูลมังสาหาร,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.24578600,105.24382600,แหล่งท่องเที่ยวที่สำคัญของจังหวัด,เป็นแหล่งท่องเที่ยวทางธรรมชาติที่เป็นเอกลักษณ์ของอำเภอพิบูลมังสาหาร เป็นแก่งขนาดใหญ่สวยงามกลางลำน้ำมูล  เป็นแก่งหินที่มีหินน้อยใหญ่สลับซ้อนกันเหมือนงูใหญ่ในลำน้ำมูล เมื่อกระแสน้ำไหลผ่านกระทบหินแล้วเกิดเป็นฟองสีขาวมีเสียงดังตลอดเวลา ในฤดูแล้งจะเห็นเป็นชั้นของแก่งคล้ายน้ำตก ส่วนฤดูฝนน้ำหลากทำให้ไม่สามารถมองเห็นแก่งได้
172,แก่งตะนะ,2,แก่ง,คำเขื่อนแก้ว และ โขงเจียม,สิรินธร และ โขงเจียม,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.30083300,105.474444 ,แหล่งท่องเที่ยวที่สำคัญของจังหวัด,เป็นแก่งกลางลำน้ำมูลที่ใหญ่ที่สุด เป็นโขดหินทรายขนาดมหึมา ลักษณะเป็นเกาะหินกลางลำน้ำมูล อยู่ด้านล่างดอนตะนะ กระแสน้ำเชี่ยวกราก เสียงกระแสน้ำไหลดังก้องทั่วผืนป่า สังเกตเกาะกลางแก่งจะเห็นแท่งปูนสี่เหลี่ยมสร้างขึ้นในสมัยฝรั่งเศสล่าอาณานิคม เพื่อเป็นเครื่องหมายชี้ร่องน้ำในการเดินเรือ
173,ผาแต้ม,10,ธรณีสัณฐานและภูมิลักษณวรรณา,ห้วยไผ่,โขงเจียม,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.39925500,105.511819 ,เป็นอุทยานแห่งชาติแห่งแรกในประเทศไทยและมีภาพเขียนสีที่โบราณที่สุดในประเทศไทย,เป็นหน้าผาสูงที่สวยงามตามธรรมชาติ ในบริเวณที่เป็นหน้าผา จะปรากฏภาพเขียนสีโบราณโดยฝีมือมนุษย์ยุคก่อนประวัติศาสตร์เรียงรายตามความยาวของหน้าผา มีไม่ต่ำกว่า 300 ภาพ ซึ่งเป็นจำนวนภาพเขียนสีโบราณที่มากที่สุดเท่าที่เคยค้นพบในประเทศไทยและในต่างประเทศ
174,เสาเฉลียง,10,ธรณีสัณฐานและภูมิลักษณวรรณา,ห้วยไผ่,โขงเจียม,อุบลราชธานี,ตะวันออกเฉียงเหนือ,15.40446500,105.50222900,เป็นหลักฐานทางธรณีวิทยาว่าบริเวณนี้เคยเป็นทะเลมาก่อน,เป็นแท่งหินทรายขนาดใหญ่ที่มีหินแผ่นเทินทับอยู่บนแท่งหินนั้น เป็นลักษณะที่เกิดขึ้นตามธรรมชาติ สืบเนื่องมาจากกระบวนการกัดเซาะและกัดกร่อนด้วยอิทธิพลของน้ำและลม ซึ่งหินดังกล่าวจะปรากฏเห็นซากเปลือกหอย กรวด ทราย อยู่ในแผ่นดินขนาดใหญ่ นักธรณีวิทยาสันนิษฐานว่าบริเวณนี้เคยเป็นทะเลมาก่อน แล้วมีการกัดกร่อนจนกลายเป็นเช่นที่เห็นในปัจจุบัน
175,หนองสามขา (อำนาจเจริญ),7,แหล่งน้ำ,รัตนวารี,หัวสะพาน,อำนาจเจริญ,ตะวันออกเฉียงเหนือ,15.69432700,104.484727 ,เป็นแหล่งน้ำดิบเพื่อการประปาและจับสัตว์น้ำของชาวบ้าน,เป็นหนองน้ำธรรมชาติขนาดใหญ่ที่เต็มไปด้วยดอกบัวอันสวยงาม ซึ่งไหลมาจากห้วยสามขา มีพื้นที่ประมาณ 300 - 400 ไร่ ตั้งอยู่บนถนนสายหลักเป็นสถานที่อนุรักษ์นกน้ำนานาชาติ และยังเป็นที่นิยมของนักตกปลา
176,ถ้ำเขาเกรียบ,4,ถ้ำ,บ้านควน,หลังสวน,ชุมพร,ใต้,9.81767000,99.03797600,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นสถานที่ศักดิ์สิทธิ์,เป็นถ้ำหินปูนที่เกิดจากโครงสร้างธรรมชาติที่ดี หายากและสวยงามและเป็นสถานที่ศักดิ์สิทธิ์หรือที่เคารพบูชา ภายในเป็นโพรงถ้ำขนาดใหญ่เต็มไปด้วยหินงอกหินย้อย เพดานบางส่วนเป็นช่องแสงสามารถลอดเข้ามาได้จำนวน 2 ช่อง เมื่อกระทบกับหินก็จะเกิดความแวววาวสวยงาม
177,น้ำตกกะเปาะ,5,น้ำตก,หงษ์เจริญ,ท่าแซะ,ชุมพร,ใต้, 10.743242 ,99.212622 ,เป็นน้ำตกที่เกิดจากโครงสร้างทางธรรมชาติที่หายาก และทัศนียภาพสวยงาม เป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่มีขนาดเล็กอยู่ในเป็นวนอุทยานน้ำตกกะเปาะ เกิดจากป่าต้นน้ำอันอุดมสมบูรณ์ มีน้ำไหลตลอดทั้งปี น้ำตกมีลักษณะคล้ายฝายรูปโค้ง กว้างประมาณ 20 เมตร สูงประมาณ 2 เมตร เป็นลำคลองทอดยาว และมีน้ำตก และแก่งเล็ก ๆ ระหว่างลำคลอง มีทัศนียภาที่สวยงามและยังคงมีทรัพยากรธรรมชาติที่สมบูรณ์
178,น้ำตกทับช้าง (ทุ่งตะโก),5,น้ำตก,ตะโก,ทุ่งตะโก,ชุมพร,ใต้,10.03962000,98.96634200,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นจุดเริ่มของการประกาศอุทยานแห่งชาติน้ำตกคลองเพรา,เป็นน้ำตกที่มีโครงสร้างธรรมชาติที่ดี หายากและสวยงาม เป็นน้ำตกขนาดใหญ่กลางป่า มีต้นกำเนิดจากเขาตังอา คลองโชน ไหลผ่านสวนกาแฟ และป่าดงดิบ มีทั้งหมด 5 ชั้น ชั้นที่ 3 เป็นชั้นที่น้ำโจนสูงสุดถึง 16 เมตร ทำให้เกิดเป็นน้ำตกที่สวยงาม ยามบ่ายจะเห็นละอองน้ำจากน้ำตก และเกิดรุ้งกินน้ำ
179,หาดอรุโณทัย,8,ชายหาด,ปากตะโก,ทุ่งตะโก,ชุมพร,ใต้,10.09583300,99.148889 ,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญของจังหวัด,เป็นชายหาดที่มีโครงสร้างทางธรรมชาติที่ดี หายากและสวยงาม เป็นหาดที่มีความยาวตามชายฝั่ง พื้นทรายนุ่มละเอียด มีต้นไม้ให้ความร่มรื่นแก่นักท่องเที่ยว และมีปลาโลมาเข้ามาในบริเวณหาดแต่ไม่บ่อยมากนัก นับว่าเป็นแหล่งท่องเที่ยวที่สำคัญแห่งหนึ่งของจังหวัดชุมพร
180,หาดทรายรี,8,ชายหาด,หาดทรายรี,เมืองชุมพร,ชุมพร,ใต้,10.39444400,99.28055600,ทัศนียภาพสวยงามควรค่าแก่การอนุรักษ์ไว้รวมทั้งมีความสำคัญทางประวัติศาสตร์,เป็นชายหาดที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม มีทรายสีขาวละเอียดและน้ำทะเลใส เป็นที่ตั้งของอนุสรณ์สถานพลเอกสมเด็จกรมหลวงชุมพรเขตอุดมศักดิ์ บิดาเเห่งกองทัพเรือ เป็นแหล่งท่องเที่ยวที่สำคัญของจังหวัดชุมพร
181,ทะเลใน (หมู่เกาะอ่างทอง),10,ธรณีสัณฐานและภูมิลักษณวรรณา,อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,ใต้,9.65555600,99.66583300,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,ทะเลใน เป็นปรากฎการณ์ทางธรณีวิทยา เกิดจากแอ่งหินปูนที่ยุบตัวเป็นทะเลสาบขนาดใหญ่ มีรูปเป็นวงรีอยู่กลางเกาะแม่เกาะ หนึ่งใน 42 เกาะของหมู่เกาะอ่างทอง บริเวณรอบ ๆ ทะเลใน เป็นแหล่งกล้วยไม้หายาก (รองเท้านารี ช่องอ่างทอง)
182,น้ำตกเขาแพง,5,น้ำตก,เกาะพะงัน,เกาะพะงัน,สุราษฎร์ธานี,ใต้,9.73527800,100.01410800,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากโครงสร้างทางธรรมชาติที่มีความสวยงามและหายาก เป็นน้ำตกที่อยู่ในเขตประกาศของอุทยานแห่งชาติธารเสด็จ น้ำตกมีน้ำเกือบตลอดปี แต่ปัจจุบันน้ำน้อยลง แต่ในฤดูฝนจะมีน้ำไหลลงมาจากหน้าผา สวยงามมาก
183,น้ำตกหินลาด (สุราษฎร์ธานี),5,น้ำตก,อ่างทอง,เกาะสมุย,สุราษฎร์ธานี,ใต้,9.52111100,99.96666700,เป็นน้ำตกที่เกิดจากภูเขาหินแกรนิตทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากภูเขาหินแกรนิตมีโครงสร้างทางธรรมชาติที่ดี หายาก และสวยงาม เป็นน้ำตกที่เกิดจากป่าดิบชื้น สายน้ำไหลจากเขาผ่านโขดหินน้อยใหญ่ในลำธารลดหลั่นกันลงมา บางช่วงผ่านที่ลาดชันมากเกิดเป็นแอ่งน้ำที่สามารถเล่นได้
184,น้ำตกหน้าเมือง,5,น้ำตก,หน้าเมือง,เกาะสมุย,สุราษฎร์ธานี,ใต้,9.46636400,99.98396100,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่มีชื่อเสียงแห่งหนึ่งบนเกาะสมุย เป็นน้ำตกที่มีความสวยงาม มีโครงสร้างทางธรรมชาติที่ดี น้ำตกจากหน้าผาสูงชัน ในฤดูฝนกระแสน้ำที่ไหลลงมาจากหน้าผาจะมีความสวยงามมาก เมื่อครั้งอดีต ในหลวงรัชกาลที่ 5 รัชกาลที่ 7 และรัชกาลที่ 9 ทรงเคยเสด็จประพาสที่น้ำตกหน้าเมืองแห่งนี้
185,หาดเฉวง,8,ชายหาด,บ่อผุด,เกาะสมุย,สุราษฎร์ธานี,ใต้,9.53305600,100.06916700,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดที่เกิดจากโครงสร้างทางธรรมชาติที่หายากและสวยงาม เป็นหาดที่กว้างมีขนาดยาว ชายหาดสีขาว ทรายละเอียด เเละเป็นชายหาดที่ขึ้นชื่อแห่งหนึ่งของเกาะสมุย นักท่องเที่ยวนิยมมาดำน้ำและพักผ่อนในช่วงคลื่นลมสงบ
186,หาดละไม,8,ชายหาด,มะเร็ต,เกาะสมุย,สุราษฎร์ธานี,ใต้,9.46194400,100.04444400,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญเป็นหาดทรายขาวละเอียด,เป็นชายหาดที่มีโครงสร้างทางธรรมชาติที่ดี มีทัศนียภาพสวยงาม และหายาก เป็นแหล่งท่องเที่ยวที่มีชื่อเสียง นักท่องเที่ยวทั้งชาวไทยและชาวต่างชาตินิยมมานั่งชมธรรมชาติ และอาบแดด ชายหาดเป็นทรายละเอียด สีขาว มีทิวทัศน์ที่สวยงาม เหมาะเเก่การมาพักผ่อนและดำน้ำ
187,หินตาหินยาย,10,ธรณีสัณฐานและภูมิลักษณวรรณา,มะเร็ต,เกาะสมุย,สุราษฎร์ธานี,ใต้,9.45235000,100.03935000,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นเอกลักษณ์ของท้องถิ่น,มีลักษณะเป็นโครงสร้างทางธรรมชาติที่ดี หายาก เเละเป็นเอกลักษณ์ของท้องถิ่น ด้วยลักษณะพิเศษทางธรณี ทำให้เกิดเป็นหินที่มีรูปร่างลักษณะผิดแปลกไปจากธรรมดา รูปร่างคล้ายอวัยวะเพศชาย และอวัยวะเพศหญิง ตั้งอยู่ริมหาด เป็นที่น่าสนใจของนักท่องเที่ยว
188,น้ำตกพรหมโลก,5,น้ำตก,บ้านเกาะ,พรหมคีรี,นครศรีธรรมราช,ใต้,8.52731900,99.78336500,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดใหญ่ที่เกิดจากเขาหลวง มีชั้นน้ำตกประมาณ 50 ชั้น เปิดบริการให้เข้าชมได้เพียง 4 ชั้น น้ำตกที่ไหลจากหน้าผาหินกว้าง สายน้ำไหลผ่านแผ่นหินลงสู่แอ่งน้ำด้านล่าง สวยงามมาก น้ำตกแห่งนี้อยู่ไม่ไกลจากตัวเมืองนัก จึงเป็นที่นิยมของนักท่องเที่ยว
189,น้ำตกโยง,5,น้ำตก,ถ้ำใหญ่,ทุ่งสง,นครศรีธรรมราช,ใต้,8.17311700,99.74451300,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,น้ำตกที่มีความสวยงามมาก มีน้ำไหลตลอดทั้งปี เป็นน้ำตกที่มีหน้าผาสูงชันมีน้ำไหลลงมาเหมือนเกลียวเชือก ทำให้เกิดแอ่งน้ำขนาดใหญ่กว้างประมาณ 30 เมตร ลึกประมาณ 10 เมตร เมื่อยามลมพัดจะทำให้ละอองน้ำไปไกลนับ 10 เมตร มีชั้นน้ำตก 7 ชั้น แต่ละชั้นมีความสวยงามและร่มรื่นด้วยพรรณไม้มากมายของป่าดิบชื้นผสมป่าดิบเขา นอกจากนี้ ยังมีปลาอาศัยอยู่หลายชนิด โดยเฉพาะปลาแงะมีจำนวนมาก
190,หาดสิชล,8,ชายหาด,สิชล,สิชล,นครศรีธรรมราช,ใต้,9.00888900,99.921667 ,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,"เป็นชายหาดที่มีโครงสร้างทางธรรมชาติที่ดี หายาก และสวยงาม เป็นหาดโค้งระหว่างปากน้ำสิชลและเขาคอกวาง หาดทรายละเอียด น้ำใส มีหินสวยงาม เมื่อน้ำลง ชายหาดจะกว้างประมาณ 15 - 20 เมตร จะเห็นโขดหินทรายและโขดหินกรวดบนหินใหญ่น้อยมากมาย บริเวณชายหาดเป็นแนวหินไปจนจดหาดทรายโค้ง เป็นบริเวณที่เล่นน้ำได้ ชาวท้องถิ่นเรียกกันว่า ""หัวหินสิชล"" เป็นแหล่งท่องเที่ยวที่มีชื่อเสียงมานานของอำเภอสิชล"
191,หาดขนอม,8,ชายหาด,ขนอม,ขนอม,นครศรีธรรมราช,ใต้,9.10916700,99.90166700,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดที่เกิดจากโครงสร้างทางธรรมชาติที่หายาก เป็นหาดทรายชายทะเลที่สวยงาม ทรายขาวสะอาด ละเอียด ชายหาดยาวติดต่อกันเกือบเป็นเส้นตรงยาวหลายกิโลเมตร และมีหาดต่อเนื่องกัน เช่น หาดเปร็ต หาดในเพลา หาดปากน้ำ ซึ่งรวมกันเรียกว่า หาดหน้าด่าน
192,เขาอกทะลุ,3,ภูเขา,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,ใต้,7.62450800,100.09121100,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นเอกลักษณ์ของท้องถิ่น,เป็นลักษณะภูเขาที่มีโครงสร้างทางธรรมชาติที่สวยงามและหายาก และเป็นสัญลักษณ์ของเมืองพัทลุง อยู่กลางเมืองพัทลุง เกิดจากเขาหินปูนซึ่งถูกรบกวนจากธรรมชาติ ทำให้เกิดเป็นโพรง มีช่องกว้างประมาณ 10 เมตร ตรงบริเวณยอดเขาทะลุไปด้านหนึ่ง มองเห็นชั้นหินเป็นรูปโค้งได้ชัดเจน
193,น้ำตกบ้านโตน (น้ำตกโตนแพรทอง),5,น้ำตก,ลำสินธ์ และ กงหรา,ศรีนครินทร์ และ กงหรา,พัทลุง,ใต้,7.48657700,99.89522600,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากโครงสร้างทางธรรมชาติที่ดี หายากและมีทัศนียภาพที่สวยงาม เป็นน้ำตกขนาดกลาง เกิดจากป่าดงดิบอุดมสมบูรณ์ มีลักษณะเป็นสายน้ำไหลลดหลั่นผ่านโขดหินสวยงาม และมีฝนตกตลอดทั้งปี
194,น้ำตกหม่อมจุ้ย,5,น้ำตก,ตะโหมด,ตะโหมด,พัทลุง,ใต้,7.25194400,100.03527800,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากโครงสร้างทางธรรมชาติที่ดี หายาก และมีทัศนียภาพที่สวยงาม เป็นน้ำตกขนาดปานกลาง อยู่ในเขตรักษาพันธุ์สัตว์ป่าเขาบรรทัด น้ำตกไหลผ่านโขดหินลงมาเป็นชั้น ๆ มีน้ำตกตลอดทั้งปี สูง 7 ชั้น บริเวณโดยรอบเป็นต้นไม้ใหญ่ อุดมสมบูรณ์ มีทางเดินศึกษาธรรมชาติ
195,ทะเลน้อย,7,แหล่งน้ำ,พนางตุง,ควนขนุน,พัทลุง,ใต้,7.77734100,100.12327600,เป็นหนองน้ำขนาดใหญ่ที่เชื่อมกับทะเลมีทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหนองน้ำขนาดใหญ่ที่เชื่อมกับทะเลใหญ่ ทะเลน้อยได้รับการประกาศเป็นเขตห้ามล่าสัตว์ป่าทะเลน้อย ซึ่งนับเป็นเขตห้ามล่าสัตว์ป่าแห่งแรกของประเทศไทย ทะเลน้อยเป็นพื้นที่ที่มีความหลากหลายทางชีวภาพมาก ทั้งระบบนิเวศ สัตว์ป่า สัตว์น้ำ พรรณพืช โดยเฉพาะนกที่มีอยู่เป็นจำนวนมาก
